id,name,category,description,price,popularity,rating,emoji,stock,tags,brand
P001,어반 ANC 멀티포인트 헤드폰,전자기기,출퇴근과 집중 시간에 주변 소음을 줄이고 노트북과 스마트폰을 오가며 연결하는 블루투스 오버이어 헤드폰,139000,96,4.8,🎧,24,노이즈캔슬링 ANC 멀티포인트 출퇴근 집중 여행 오버이어,NEWTONE
P002,액티브핏 방수 무선 이어버드,전자기기,운동과 통화에 편한 생활 방수 초경량 완전 무선 이어폰과 휴대용 충전 케이스,79000,93,4.7,🎵,32,무선이어폰 이어버드 방수 러닝 헬스 통화 초경량,PULSE
P003,AMOLED 헬스 트래킹 스마트워치,전자기기,심박수 수면 걸음 수와 운동 기록을 선명한 AMOLED 화면에서 확인하는 데일리 웨어러블,169000,91,4.7,⌚,18,스마트워치 웨어러블 수면 심박수 러닝 운동 건강,PULSE
P004,FHD 자동초점 스마트 미니빔,전자기기,원룸 홈시네마와 캠핑에서 와이파이로 콘텐츠를 재생하는 자동초점 휴대용 FHD 프로젝터,229000,88,4.6,📽️,13,미니빔 프로젝터 홈시네마 캠핑 원룸 자동초점 와이파이,NOVA
P005,저소음 핫스왑 텐키리스 키보드,전자기기,업무와 게임에 맞춰 스위치를 교체할 수 있는 저소음 RGB 텐키리스 기계식 키보드,99000,94,4.8,⌨️,27,기계식키보드 텐키리스 저소음 핫스왑 RGB 데스크테리어,KEYLAB
P006,100W GaN 4포트 충전 스테이션,전자기기,노트북 스마트폰 태블릿을 한 자리에서 동시에 충전하는 4포트 GaN 고속 충전기,69000,95,4.8,🔌,35,GaN 충전기 100W 멀티포트 노트북 스마트폰 여행,CHARGEUP
P007,헤비웨이트 피그먼트 오버핏 후드,패션,탄탄한 코튼 원단과 빈티지 색감으로 데일리 레이어드에 어울리는 남녀공용 오버핏 후드,59000,92,4.6,👕,42,오버핏 후드 피그먼트 남녀공용 데일리 스트리트,COMMON
P008,고프코어 발수 러닝 윈드브레이커,패션,가벼운 발수 원단과 통기 패널을 적용해 러닝과 아웃도어 스타일에 활용하는 바람막이 재킷,89000,96,4.8,🧥,28,러닝코어 고프코어 바람막이 발수 러닝 아웃도어,MOTION
P009,테크 멀티포켓 미니 크로스백,패션,휴대폰 지갑 이어폰을 나눠 담는 멀티 포켓과 생활 방수 원단의 데일리 크로스백,45000,89,4.5,👜,40,크로스백 미니백 멀티포켓 생활방수 출퇴근 여행,ROAM
P010,데일리 리커버리 쿠션 스니커즈,패션,장시간 걷기와 출퇴근에 편하도록 충격 흡수 미드솔을 적용한 데일리 워킹 스니커즈,109000,97,4.8,👟,31,스니커즈 워킹화 쿠션 러닝코어 출퇴근 여행,MOTION
P011,UV 차단 스트링 버킷햇,패션,여행과 러닝 등 야외 활동에서 사이즈를 조절하고 접어 보관하는 자외선 차단 버킷햇,32000,84,4.5,👒,37,버킷햇 UV차단 스트링 러닝 여행 캠핑 접이식,ROAM
P012,16인치 노트북 테크 백팩,패션,16인치 노트북 보호 공간과 케이블 수납 포켓을 갖춘 생활 방수 출퇴근 백팩,92000,93,4.7,🎒,22,노트북백팩 16인치 출퇴근 수납 생활방수 테크웨어,ROAM
P013,선셋 무드 가습 아로마 디퓨저,홈리빙,은은한 선셋 조명과 초음파 가습으로 침실과 원룸의 휴식 분위기를 만드는 아로마 디퓨저,49000,91,4.7,🪔,29,디퓨저 무드등 가습기 아로마 침실 원룸 집들이,ROOMLAB
P014,3D 서포트 메모리폼 방석,홈리빙,재택근무와 장시간 학습 시 몸을 안정적으로 받쳐 주는 통기성 메모리폼 의자 방석,42000,90,4.6,🪑,33,메모리폼 방석 재택근무 공부 의자 통기성 데스크테리어,ERGODAY
P015,모니터 라이트바 와이드 LED,홈리빙,모니터 위에 설치해 책상 공간을 아끼고 밝기와 색온도를 조절하는 눈부심 방지 와이드 조명,59000,94,4.7,💡,26,모니터라이트바 LED 데스크테리어 색온도 업무 공부,DESKON
P016,2in1 무선 에어더스터 핸디 청소기,홈리빙,키보드 차량 소파 틈새의 먼지를 불어내거나 흡입하는 USB 충전식 휴대용 청소 도구,69000,92,4.6,🧹,21,에어더스터 핸디청소기 키보드 차량 무선 USB,DESKON
P017,LED 온도표시 진공 텀블러,홈리빙,뚜껑의 LED로 음료 온도를 확인하고 보온과 보냉을 유지하는 스테인리스 진공 텀블러,29000,86,4.5,🥤,45,텀블러 온도표시 보온 보냉 스테인리스 출근,DAILYWARE
P018,사계절 워셔블 마이크로 블랭킷,홈리빙,부드러운 마이크로 원단을 세탁기로 관리하며 소파와 침실에서 사용하는 사계절 담요,39000,85,4.6,🛋️,36,담요 블랭킷 워셔블 소파 침실 집들이,ROOMLAB
P019,세라마이드 판테놀 장벽 수분 세럼,뷰티,건조하고 민감한 피부에 세라마이드와 판테놀로 수분 보습을 더하는 데일리 페이스 세럼,32000,98,4.8,💧,48,세라마이드 판테놀 수분세럼 민감피부 보습 장벽,DEWNOTE
P020,논나노 무기자차 데일리 선크림 SPF50+,뷰티,백탁과 끈적임을 줄여 매일 사용하기 편한 민감 피부용 논나노 무기자차 선크림,27000,99,4.8,☀️,52,선크림 무기자차 SPF50 논나노 민감피부 데일리,SUNMATE
P021,저자극 카올린 포어 클레이 마스크,뷰티,카올린 클레이로 피지와 모공을 산뜻하게 관리하는 워시오프 타입 페이스 마스크,24000,87,4.5,🧖,34,클레이마스크 카올린 모공 피지 워시오프 저자극,DEWNOTE
P022,글로우 비건 립 틴트 3종 세트,뷰티,맑은 발색과 촉촉한 광택을 연출하는 데일리 컬러의 비건 립 틴트 세트,35000,90,4.6,💄,41,립틴트 비건 글로우 촉촉 발색 선물 세트,COLORLY
P023,소프트 실리콘 두피 스칼프 브러시,뷰티,샴푸할 때 두피 세정과 마사지를 돕는 손잡이형 소프트 실리콘 브러시,15000,88,4.7,🫧,55,두피브러시 샴푸 스칼프 마사지 실리콘 욕실,ROOTDAY
P024,TPE 폴더블 홈트 요가매트,스포츠,미끄럼 방지 TPE 소재를 접어서 보관하고 요가 필라테스 스트레칭에 사용하는 홈트 매트,45000,93,4.8,🧘,30,요가매트 TPE 폴더블 홈트 필라테스 스트레칭,MOTION
P025,LED 스마트 카운트 줄넘기,스포츠,점프 횟수와 운동 시간을 LED 화면으로 확인하는 휴대용 홈트 유산소 줄넘기,29000,89,4.6,🤸,38,스마트줄넘기 LED 카운트 홈트 유산소 운동,MOTION
P026,5단 퀵체인지 무게조절 덤벨,스포츠,다이얼로 무게를 5단계 조절해 좁은 홈짐에서도 다양한 근력 운동을 하는 덤벨,139000,94,4.7,🏋️,16,무게조절덤벨 퀵체인지 홈짐 근력운동 웨이트,IRONLAB
P027,플라스크 수납 러닝 벨트,스포츠,러닝 중 휴대폰과 소프트 플라스크를 몸에 밀착해 보관하는 생활 방수 웨이스트 벨트,29000,92,4.7,🏃,44,러닝벨트 플라스크 휴대폰 수납 방수 마라톤,MOTION
P028,저당 고단백 에너지바 12팩,식품,운동 전후와 바쁜 출근길에 간편하게 먹는 견과류 기반 저당 단백질 에너지바 세트,32000,95,4.7,🍫,60,단백질바 에너지바 저당 고단백 운동 간식 12팩,FITBITE
P029,디카페인 스페셜티 콜드브루 원액,식품,물이나 우유에 희석해 늦은 시간에도 부담을 줄여 즐기는 디카페인 콜드브루 커피 원액,34000,94,4.8,☕,47,디카페인 콜드브루 커피원액 라떼 저당 홈카페,BEANWAVE
P030,슬립 루틴 무카페인 허브티 20입,식품,캐모마일 루이보스 페퍼민트를 골라 저녁 휴식 시간에 마시는 무카페인 티백 컬렉션,24000,88,4.7,🍵,53,무카페인 허브티 캐모마일 루이보스 슬립루틴 티백,TEAHOUR
